"Sender Name: %senderName","Sender Name: %senderName"
"Recipient Name: %recipientName","Recipient Name: %recipientName"
"Gift Card Code Information","Gift Card Code Information"
"Card Value","Card Value"
Preview,Preview
"Sender Name","Sender Name"
"Recipient Name","Recipient Name"
"Sender Email","Sender Email"
"Recipient Email","Recipient Email"
"Select Timezone","Select Timezone"
"Please save pattern","Please save pattern"
Error,Error
"Please enter again","Please enter again"
"Please enter qty, amount field","Please enter qty, amount field"
Note,Note
"Can not check.","Can not check."
Fail,Fail
"Your gift card code was successfully removed.","Your gift card code was successfully removed."
"Your gift card code was successfully applied.","Your gift card code was successfully applied."
Fails.,Fails.
General,General
Enabled,Enabled
"Email Configuration","Email Configuration"
"Send Email to Sender","Send Email to Sender"
"Email Sender","Email Sender"
"Email Template to Sender","Email Template to Sender"
"Email Template to Recipient","Email Template to Recipient"
"Notification Email Template of Expiration to Recipient","Notification Email Template of Expiration to Recipient"
"Send Notification Mail of Expiration before number of days","Send Notification Mail of Expiration before number of days"
"Gift Card Setting","Gift Card Setting"
"Enter 0 for unlimited usage day","Enter 0 for unlimited usage day"
"Number of Characters Shown in Gift Code","Number of Characters Shown in Gift Code"
"Replace Hidden Character by","Replace Hidden Character by"
"Allowed Maximum Time (s) to Enter Gift Code Incorrectly","Allowed Maximum Time (s) to Enter Gift Code Incorrectly"
"Gift Code Account Details","Gift Code Account Details"
"Initial Value","Initial Value"
"Send Gift Card","Send Gift Card"
"Shipping Address","Shipping Address"
"History Transaction","History Transaction"
"Delete items","Delete items"
"Delete selected items?","Delete selected items?"
"Pattern Information","Pattern Information"
Pattern,Pattern
"Maximum number of D (digit) and L (letter) to be added is 6. E.g. BIRTHDAY-{D}-{L} results in BIRTHDAY-8-A","Maximum number of D (digit) and L (letter) to be added is 6. E.g. BIRTHDAY-{D}-{L} results in BIRTHDAY-8-A"
"Code Quantity","Code Quantity"
Unused,Unused
"Import Codes","Import Codes"
"Allowed file types: csv.","Allowed file types: csv."
"Add Code Quantity","Add Code Quantity"
"Add Code Value","Add Code Value"
"Code List Grid","Code List Grid"
"Add New Pattern","Add New Pattern"
"Gift Code Pattern Name","Gift Code Pattern Name"
"Code Pattern","Code Pattern"
"Gift Code Qty","Gift Code Qty"
"Unused Gift Code","Unused Gift Code"
"Template Information","Template Information"
Images,Images
"Add New Template","Add New Template"
"Change status","Change status"
Name,Name
"Gift Cards Information","Gift Cards Information"
"Choose an Amount...","Choose an Amount..."
"Choose an Template...","Choose an Template..."
"Select Delivery Date","Select Delivery Date"
"Choose an Timezone...","Choose an Timezone..."
"Giftcard Options Details", "Giftcard Options Details",
"Selected Image", "Selected Image"
'Amount Dynamic is incorrect.','Amount Dynamic is incorrect.
'Amount is incorrect.','Amount is incorrect.
